epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.71407,1.66123,0.42105,1,1.62316,1.25e-05,1.25e-05,1.25e-05
2,7.27585,1.38183,0.36842,1,1.55132,3.67575e-05,3.67575e-05,3.67575e-05
3,8.9752,1.29152,0.47368,1,1.45345,6.0025e-05,6.0025e-05,6.0025e-05
4,10.959,1.37011,0.47368,1,1.32866,8.23025e-05,8.23025e-05,8.23025e-05
5,12.7477,1.12639,0.52632,1,1.16827,0.00010359,0.00010359,0.00010359
6,14.4991,1.146,0.57895,1,0.97663,0.000123888,0.000123888,0.000123888
7,16.2755,0.85261,0.78947,1,0.80502,0.000143195,0.000143195,0.000143195
8,18.1056,1.11018,0.89474,1,0.65476,0.000161513,0.000161513,0.000161513
9,19.8856,0.89197,0.89474,1,0.57617,0.00017884,0.00017884,0.00017884
10,21.8119,1.12544,0.94737,1,0.50961,0.000195178,0.000195178,0.000195178
11,23.5103,0.70363,0.94737,1,0.42491,0.000210525,0.000210525,0.000210525
12,25.073,0.84014,1,1,0.35972,0.000224883,0.000224883,0.000224883
13,26.813,0.6871,1,1,0.29951,0.00023825,0.00023825,0.00023825
14,28.3962,0.46945,1,1,0.248,0.000250627,0.000250627,0.000250627
15,30.2209,0.50594,1,1,0.19587,0.000262015,0.000262015,0.000262015
16,31.975,0.47102,1,1,0.15667,0.000272412,0.000272412,0.000272412
17,33.8169,0.43818,1,1,0.12234,0.00028182,0.00028182,0.00028182
18,35.4996,0.49219,1,1,0.09849,0.000290237,0.000290237,0.000290237
19,37.1796,0.41739,1,1,0.07887,0.000297665,0.000297665,0.000297665
20,38.9122,0.33955,1,1,0.06636,0.000304103,0.000304103,0.000304103
21,40.5795,0.3743,1,1,0.05392,0.00030955,0.00030955,0.00030955
22,42.2357,0.64314,1,1,0.04485,0.000314008,0.000314008,0.000314008
23,43.8526,0.22757,1,1,0.0411,0.000317475,0.000317475,0.000317475
24,45.3302,0.45481,1,1,0.03463,0.000319953,0.000319953,0.000319953
25,46.9307,0.22811,1,1,0.02715,0.00032144,0.00032144,0.00032144
26,48.4674,0.53328,1,1,0.02253,0.000321938,0.000321938,0.000321938
27,50.0849,0.14907,1,1,0.01746,0.000321445,0.000321445,0.000321445
28,51.4638,0.35815,1,1,0.01746,0.000319962,0.000319962,0.000319962
29,52.972,0.14224,1,1,0.01428,0.00031749,0.00031749,0.00031749
30,54.5381,0.43752,1,1,0.01261,0.000314028,0.000314028,0.000314028
31,56.0637,0.5788,1,1,0.01261,0.000309575,0.000309575,0.000309575
32,57.7348,0.42238,1,1,0.00955,0.000304132,0.000304132,0.000304132
33,59.177,0.14068,1,1,0.00877,0.0002977,0.0002977,0.0002977
34,60.5371,0.21821,1,1,0.00877,0.000290277,0.000290277,0.000290277
35,62.0512,0.55922,1,1,0.00734,0.000281865,0.000281865,0.000281865
36,63.5972,0.14189,1,1,0.00765,0.000272463,0.000272463,0.000272463
37,65.0304,0.32069,1,1,0.00765,0.00026207,0.00026207,0.00026207
38,66.7339,0.05285,1,1,0.00682,0.000250687,0.000250687,0.000250687
39,68.2774,0.39021,1,1,0.00637,0.000238315,0.000238315,0.000238315
40,69.8553,0.03473,1,1,0.00637,0.000224952,0.000224952,0.000224952
41,71.4885,0.57169,1,1,0.00569,0.0002106,0.0002106,0.0002106
42,72.9854,0.0957,1,1,0.00548,0.000195258,0.000195258,0.000195258
43,74.51,0.07993,1,1,0.00548,0.000178925,0.000178925,0.000178925
44,76.0953,0.04552,1,1,0.00473,0.000161603,0.000161603,0.000161603
45,77.5841,0.22293,1,1,0.00473,0.00014329,0.00014329,0.00014329
46,79.2135,0.0511,1,1,0.0054,0.000123987,0.000123987,0.000123987
47,80.8293,0.08529,1,1,0.0054,0.000103695,0.000103695,0.000103695
48,82.3342,0.07757,1,1,0.00462,8.24125e-05,8.24125e-05,8.24125e-05
49,83.7104,0.02847,1,1,0.00462,6.014e-05,6.014e-05,6.014e-05
50,85.0889,0.0686,1,1,0.00477,3.68775e-05,3.68775e-05,3.68775e-05
